0.020928 ,0 ,5360,
0.046512 ,5360 ,5896,
0.055952 ,5896 ,6432,
0.065392 ,6432 ,6968,
0.074832 ,6968 ,7504,
0.084272 ,7504 ,8040,
0.093712 ,8040 ,8576,
0.103152 ,8576 ,9112,
0.112592 ,9112 ,9648,
0.122032 ,9648 ,10184,
0.131472 ,10184 ,10720,
0.140912 ,10720 ,11256,
0.150352 ,11256 ,11792,
0.169296 ,11792 ,11256,
0.174016 ,11256 ,10720,
0.178736 ,10720 ,10184,
0.183456 ,10184 ,9648,
0.188176 ,9648 ,9112,
0.192896 ,9112 ,8576,
0.197616 ,8576 ,8040,
0.202336 ,8040 ,7504,
0.207056 ,7504 ,7017,
0.211776 ,7017 ,6546,
0.216496 ,6546 ,6075,
0.221216 ,6075 ,5604,
0.225936 ,5604 ,5133,
0.230656 ,5133 ,4662,
0.235376 ,4662 ,4191,
0.240096 ,4191 ,3720,
0.244816 ,3720 ,3249,
0.249536 ,3249 ,2778,
0.254256 ,2778 ,2307,
0.258976 ,2307 ,1836,
0.273936 ,1836 ,1559,
0.278592 ,1559 ,1743,
0.303744 ,1743 ,1907,
0.335392 ,1907 ,2057,
0.368725 ,2057 ,2196,
0.411563 ,2196 ,1608,
0.444832 ,1608 ,4899,
0.444832 ,4899 ,4957,
0.483685 ,4957 ,5014,
0.493125 ,5014 ,5071,
0.523045 ,5071 ,5127,
0.552965 ,5127 ,5183,
0.562405 ,5183 ,5238,
0.622309 ,5238 ,4288,
0.627029 ,4288 ,3763,
0.652229 ,3763 ,3500,
0.656949 ,3500 ,3006,
0.661669 ,3006 ,2680,
0.737269 ,2680 ,3006,
0.772709 ,3006 ,2680,
0.777429 ,2680 ,2144,
0.857685 ,2144 ,3006,
0.857685 ,3006 ,3101,
0.877365 ,3101 ,3193,
0.927765 ,3193 ,3282,
0.978165 ,3282 ,3369,
1.13023 ,3369 ,2680,
1.13495 ,2680 ,2144,
1.13967 ,2144 ,1608,
1.19559 ,1608 ,1376,
1.20031 ,1376 ,1072,
1.26641 ,1072 ,1376,
1.26641 ,1376 ,1584,
1.30657 ,1584 ,1765,
1.35697 ,1765 ,1927,
1.43809 ,1927 ,2076,
1.49873 ,2076 ,2214,
1.54913 ,2214 ,2343,
1.55857 ,2343 ,2465,
1.60897 ,2465 ,2581,
1.64913 ,2581 ,2692,
1.68929 ,2692 ,2798,
1.74993 ,2798 ,2900,
1.75937 ,2900 ,2999,
1.78929 ,2999 ,3094,
